Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
0,-12197.0048828125,56185.39453125,17091.984375,19783.365234375,17121.681640625,7797.5849609375,11057.46875,5841.02734375,0
0.004,-38409.16796875,220894.875,65734.5390625,72424.9375,63303.20703125,36426.8359375,43980.23828125,31586.802734375,0
0.008,-93162.984375,426789.40625,123014.109375,128774.625,114739.8125,80261.75,87195.1015625,79121.3125,0
0.012,-222887.796875,578345.8125,167002.34375,168738.625,154130.625,121293.2890625,127030.984375,131526.375,0
0.016,-402386,594443.875,190677.171875,188943.34375,176220.921875,151029.671875,155371.671875,172826.171875,0
0.02,-562411,443972.09375,184210.46875,182852.078125,172997.84375,163721.703125,163622.203125,191652.375,0
0.024,-662741,198121.046875,139594.796875,158351.375,151348.828125,156422,153006.953125,182555.875,0
0.028,-669170,-73363.1484375,58113.54296875,131096.203125,126244.8125,136599.84375,132700.296875,153437.25,0
0.032,-601394.3125,-331333.25,-38985.08203125,106884.4765625,103559.3515625,112861.9140625,109360.125,118171.8125,0
0.036,-534422.6875,-536212.6875,-125041.359375,81631.6875,80491.25,87607.2109375,84669.0859375,85518.859375,0
0.04,-508015.9375,-679191.8125,-183854.34375,54291.6484375,56303.6484375,61813.6875,60075.64453125,58021.38671875,0
0.044,-515958.6875,-768972.875,-206205.796875,29793.421875,34221.60546875,38892.33203125,38332.29296875,36155.05078125,0
0.048,-529013.1875,-802031.5,-196035.796875,11593.1357421875,16589.587890625,21609.396484375,21242.833984375,19753.697265625,0
0.052,-507309.9375,-781123.5,-171574.34375,341.95669555664062,4612.71630859375,10001.9794921875,9399.3798828125,7905.57568359375,0
0.056,-440390,-727309.3125,-148706.09375,-3183.487060546875,-157.37370300292969,3821.63671875,3430.029296875,576.9383544921875,0
0.06,-354212.1875,-667776.6875,-132994.796875,-1496.0484619140625,413.22354125976562,2518.35302734375,2276.24560546875,-1625.5806884765625,0
0.064,-282001.90625,-625648.875,-126246.0859375,-2081.404296875,-201.87287902832031,2597.27734375,1784.571044921875,-797.0159912109375,0
0.068,-241118.96875,-610854.8125,-127865.1640625,-7910.22119140625,-4946.87255859375,357.52410888671875,-920.625,-1230.7864990234375,0
0.072,-223945.375,-606684.5,-130318.109375,-11661.966796875,-8176.36181640625,-2626.92578125,-3304.73974609375,-3870.560546875,0
0.076,-208306.625,-582615.375,-126386.0859375,-7068.47509765625,-4684.1865234375,-1849.9716796875,-1680.6282958984375,-4926.21630859375,0
0.08,-183224.671875,-536032,-121056.6015625,-293.37777709960938,902.69970703125,2195.869140625,2111.124267578125,-2209.544189453125,0
0.084,-159449.59375,-500951.15625,-123791.4765625,-1184.5794677734375,610.3212890625,3788.42138671875,2819.48779296875,673.8104248046875,0
0.088,-149184.75,-497913.59375,-130748.875,-7782.1865234375,-4526.0615234375,720.7001953125,-251.43827819824219,-386.09490966796875,0
0.092,-145292.296875,-499427.15625,-129063.484375,-9655.9404296875,-6412.34912109375,-2193.530029296875,-2298.615966796875,-3571.53515625,0
0.096,-131816.578125,-470749.9375,-118306.9375,-4396.46240234375,-2628.91796875,-735.18243408203125,-526.44024658203125,-4065.23779296875,0
0.1,-108187.4765625,-423860.75,-112151.859375,-440.09228515625,643.09735107421875,2407.67529296875,1976.8994140625,-1482.3323974609375,0
0.104,-89030.4140625,-397900.59375,-116322.1484375,-3117.343017578125,-1080.5728759765625,2407.754638671875,1527.6220703125,43.125511169433594,0
0.108,-81656.1015625,-398526.5,-119847.671875,-7341.24462890625,-4409.83984375,-300.47787475585938,-775.2542724609375,-1479.9749755859375,0
0.112,-76908.9609375,-392153,-113555.734375,-6872.50634765625,-4451.7568359375,-1511.75,-1487.1890869140625,-3380.506591796875,0
0.116,-64778.23828125,-358869.09375,-104116.1015625,-3351.297607421875,-1919.607177734375,54.030475616455078,-60.178485870361328,-2986.27099609375,0
0.12,-48148.9921875,-318303.84375,-101823.046875,-2050.22021484375,-681.9993896484375,1627.3511962890625,1132.07421875,-1327.427490234375,0
0.124,-35887.16796875,-294265.34375,-104597.734375,-3756.889404296875,-1751.2470703125,1183.320068359375,698.6123046875,-819.85125732421875,0
